,,,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,
Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,Seattle Seahawks,16,14.4,273.6,61.9,4.4,2.44,0.69,17.6,19.3,32.8,172.0,1.00,1.75,4.8,9.75,26.4,101.6,0.25,3.9,5.19,6.13,54.9,2.69,24.7,19.4,8.09
2,Carolina Panthers,16,15.1,301.3,60.9,4.9,1.88,0.63,17.4,23.4,35.2,214.3,1.06,1.25,5.5,11.1,22.0,86.9,0.25,4.0,4.38,5.25,47.1,1.88,28.7,16.3,3.84
3,San Francisco 49ers,16,17.0,316.9,63.8,5.0,1.88,0.75,17.8,21.6,36.6,221.0,1.19,1.13,5.7,11.3,24.8,95.9,0.69,3.9,4.81,6.00,54.9,1.63,26.2,13.1,4.20
4,New Orleans Saints,16,19.0,305.7,58.9,5.2,1.19,0.44,17.1,19.0,31.7,194.1,1.25,0.75,5.6,10.5,24.2,111.6,0.69,4.6,5.13,5.69,46.9,1.50,30.4,10.5,-0.95
5,Cincinnati Bengals,16,19.1,305.5,65.1,4.7,1.94,0.69,17.6,22.6,38.4,209.0,1.38,1.25,5.1,11.1,24.1,96.5,0.38,4.0,4.50,4.31,43.3,2.00,27.4,15.2,5.81
6,Kansas City Chiefs,16,19.1,367.8,66.7,5.5,2.25,0.94,18.9,20.9,37.0,247.6,1.56,1.31,6.2,11.8,26.8,120.2,0.56,4.5,5.50,7.00,53.3,1.63,27.5,15.7,1.65
7,Arizona Cardinals,16,20.3,317.4,65.1,4.9,1.88,0.63,19.3,22.9,39.1,233.0,1.81,1.25,5.5,13.0,23.1,84.4,0.31,3.7,4.25,6.94,60.0,2.06,28.9,13.7,4.05
8,Miami Dolphins,16,20.9,359.4,69.1,5.2,1.50,0.38,20.4,21.5,36.3,234.5,1.06,1.13,6.0,12.0,30.3,124.9,0.88,4.1,7.13,5.94,46.8,1.31,33.5,11.9,-1.32
9,Indianapolis Colts,16,21.0,357.1,64.1,5.6,1.69,0.75,19.9,20.3,33.5,231.9,1.31,0.94,6.4,11.9,28.0,125.1,0.88,4.5,6.31,7.00,61.9,1.69,31.7,13.7,-5.16
10,New England Patriots,16,21.1,373.1,69.9,5.3,1.81,0.75,21.1,21.0,36.8,239.0,1.56,1.06,6.0,13.0,30.1,134.1,0.69,4.5,6.88,6.88,59.4,1.25,29.6,13.3,-2.67
11,San Diego Chargers,16,21.8,366.5,59.9,6.1,1.06,0.38,20.4,22.8,34.3,258.7,1.44,0.69,7.1,13.0,23.5,107.8,0.88,4.6,6.13,6.25,53.1,1.31,36.1,9.6,-7.51
12,Baltimore Ravens,16,22.0,335.5,64.5,5.2,1.50,0.50,17.8,19.6,34.5,230.1,1.56,1.00,6.2,11.0,27.5,105.4,0.44,3.8,4.94,7.88,74.8,1.81,31.4,10.3,1.36
13,St. Louis Rams,16,22.8,345.0,63.4,5.4,1.81,0.94,21.1,22.2,32.6,242.1,1.31,0.88,6.7,12.7,27.5,102.9,1.13,3.7,5.44,6.56,61.1,2.94,31.0,14.7,-2.03
14,Pittsburgh Steelers,16,23.1,337.2,64.8,5.2,1.25,0.63,18.9,20.6,35.6,221.6,1.31,0.63,5.9,10.9,27.1,115.6,1.13,4.3,6.63,5.75,49.9,1.44,35.3,10.5,0.69
15,Detroit Lions,16,23.5,346.6,61.4,5.6,1.38,0.44,18.1,21.1,35.8,246.9,1.50,0.94,6.5,12.3,23.6,99.8,0.63,4.2,3.88,5.44,42.6,1.94,35.7,11.1,-1.56
16,Tennessee Titans,16,23.8,337.9,64.2,5.3,1.56,0.75,20.6,21.5,34.1,225.8,0.94,0.81,6.2,11.9,27.9,112.2,1.31,4.0,6.75,5.94,48.7,1.88,35.8,13.2,-1.60
17,Philadelphia Eagles,16,23.9,394.0,71.9,5.5,1.94,0.75,23.0,25.5,41.9,289.8,1.56,1.19,6.6,14.9,27.7,104.3,0.75,3.8,6.25,6.63,53.4,1.81,32.7,15.3,-2.22
